eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,51333,128,17,5167,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,52101,128,17,4399,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,17408,30177,255,17,61174,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,52357,128,17,4143,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,34561,4322,255,17,4341,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,52613,128,17,3887,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,34561,18146,255,17,56052,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,34561,24802,255,17,49396,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,52869,128,17,3631,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,35073,2019,255,17,6132,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,53125,128,17,3375,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,17408,37859,255,17,53492,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,35073,38115,255,17,35571,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,35073,39395,255,17,34291,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,42752,39651,255,17,26356,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,53381,128,17,3119,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,53637,128,17,2863,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,53893,128,17,2607,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,54149,128,17,2351,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,55429,128,17,1071,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,55685,128,17,815,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,55941,128,17,559,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,59013,128,17,63022,192.168.1.158,192.168.1.255
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,17408,27625,255,17,63726,192.168.1.160,224.0.0.251
10-4F-A8-F5-01-E6,01-00-5E-00-00-FB,8,4,20,0,35073,27881,255,17,45805,192.168.1.160,224.0.0.251
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,59269,128,17,62766,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,60805,128,17,61230,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,61061,128,17,60974,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,61317,128,17,60718,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,61573,128,17,60462,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,61829,128,17,60206,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,62597,128,17,59438,192.168.1.158,192.168.1.255
