packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018301,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22533,4669,255,6,TCP,38627,172.31.15.212,34.218.119.33
201921018302,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,12769,253,6,TCP,39750,34.218.119.33,172.31.15.212
201921018303,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,13025,253,6,TCP,39494,34.218.119.33,172.31.15.212
201921018364,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,13281,253,6,TCP,9542,34.218.119.33,172.31.15.212
201921018365,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,4925,255,6,TCP,34280,172.31.15.212,34.218.119.33
201921018366,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,13537,253,6,TCP,38982,34.218.119.33,172.31.15.212
201921018437,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,38912,13793,253,6,TCP,13126,34.218.119.33,172.31.15.212
201921018438,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,5181,255,6,TCP,36072,172.31.15.212,34.218.119.33
201921018439,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,57344,5437,255,6,TCP,3048,172.31.15.212,34.218.119.33
201921018431,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,14049,253,6,TCP,38470,34.218.119.33,172.31.15.212
201921018432,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,14305,253,6,TCP,38214,34.218.119.33,172.31.15.212
201921018433,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,47105,14561,253,6,TCP,4165,34.218.119.33,172.31.15.212
201921018434,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,5693,255,6,TCP,31464,172.31.15.212,34.218.119.33
201921018435,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,14817,253,6,TCP,37702,34.218.119.33,172.31.15.212
201921018436,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,5949,255,6,TCP,33256,172.31.15.212,34.218.119.33
201921018437,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,15073,253,6,TCP,37446,34.218.119.33,172.31.15.212
201921018468,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,61440,15329,253,6,TCP,54597,34.218.119.33,172.31.15.212
201921018469,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,40960,6205,255,6,TCP,18664,172.31.15.212,34.218.119.33
201921018461,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,15585,253,6,TCP,36934,34.218.119.33,172.31.15.212
201921018462,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,22529,15841,253,6,TCP,27461,34.218.119.33,172.31.15.212
201921018463,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,6461,255,6,TCP,34792,172.31.15.212,34.218.119.33
201921018464,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,32768,6717,255,6,TCP,26344,172.31.15.212,34.218.119.33
201921018465,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,16097,253,6,TCP,36422,34.218.119.33,172.31.15.212
201921018466,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,43008,6973,255,6,TCP,15848,172.31.15.212,34.218.119.33
201921018467,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,4103,7229,255,6,TCP,54497,172.31.15.212,34.218.119.33
201921018468,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,16353,253,6,TCP,36166,34.218.119.33,172.31.15.212
201921018469,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,16609,253,6,TCP,20550,34.218.119.33,172.31.15.212
201921018461,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,30720,7741,255,6,TCP,27368,172.31.15.212,34.218.119.33
201921018462,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,63488,16865,253,6,TCP,51013,34.218.119.33,172.31.15.212
201921018463,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,61440,17121,253,6,TCP,52805,34.218.119.33,172.31.15.212
201921018464,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,13312,7997,255,6,TCP,44520,172.31.15.212,34.218.119.33
201921018465,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,55296,8253,255,6,TCP,2280,172.31.15.212,34.218.119.33
201921018466,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,40961,8509,255,6,TCP,16359,172.31.15.212,34.218.119.33
201921018467,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,17377,253,6,TCP,35142,34.218.119.33,172.31.15.212
201921018468,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,43008,8765,255,6,TCP,14056,172.31.15.212,34.218.119.33
201921018469,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,9021,255,6,TCP,32232,172.31.15.212,34.218.119.33
201921018461,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,9277,255,6,TCP,31976,172.31.15.212,34.218.119.33
201921018462,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,9533,255,6,TCP,31720,172.31.15.212,34.218.119.33
201921018463,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,9789,255,6,TCP,29416,172.31.15.212,34.218.119.33
201921018464,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10045,255,6,TCP,31208,172.31.15.212,34.218.119.33
201921018465,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10301,255,6,TCP,30952,172.31.15.212,34.218.119.33
201921018466,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10557,255,6,TCP,30696,172.31.15.212,34.218.119.33
201921018467,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,10813,255,6,TCP,28392,172.31.15.212,34.218.119.33
201921018468,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,11069,255,6,TCP,30184,172.31.15.212,34.218.119.33
201921018469,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,17633,253,6,TCP,34886,34.218.119.33,172.31.15.212
201921018461,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,51200,11325,255,6,TCP,3304,172.31.15.212,34.218.119.33
201921018462,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,11581,255,6,TCP,29672,172.31.15.212,34.218.119.33
201921018463,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,11837,255,6,TCP,25320,172.31.15.212,34.218.119.33
